Time	Position	CP
352.700000	13.642037	22.341635
352.800000	13.716993	22.336069
352.900000	13.745682	22.300844
353.000000	13.782074	22.243674
353.100000	13.733754	22.459278
353.200000	13.612141	22.558414
353.300000	13.572925	22.718786
353.400000	13.561823	22.820186
353.500000	13.641695	22.871690
353.600000	13.591863	23.033230
353.700000	13.619290	22.999058
353.800000	13.690941	22.931836
353.900000	13.801345	22.962495
354.000000	13.884265	23.045535
354.100000	13.824065	23.079199
354.200000	13.818012	22.882241
354.300000	13.560363	22.883654
354.400000	13.492568	22.987107
354.500000	13.527794	22.993492
354.600000	13.599110	23.030934
354.700000	13.610463	22.827714
354.800000	13.687224	22.768612
354.900000	13.779838	22.703618
355.000000	13.907827	22.786486
355.100000	13.834313	22.937615
355.200000	13.923738	22.954922
355.300000	13.796365	23.020455
355.400000	13.599700	23.260783
355.500000	13.536915	23.241364
355.600000	13.639852	23.355525
355.700000	13.793611	23.457871
355.800000	13.896745	23.218003
355.900000	13.903520	23.327129
356.000000	13.876894	23.367551
356.100000	14.127025	23.443988
356.200000	14.267810	23.481695
356.300000	14.312785	23.201888
356.400000	14.332853	23.228209
356.500000	14.492195	23.169784
356.600000	14.444207	23.163577
356.700000	14.483485	23.368776
356.800000	14.598128	23.403790
356.900000	14.642891	23.462493
357.000000	14.710729	23.554962
357.100000	14.640130	23.502050
357.200000	14.722990	23.627587
357.300000	14.709468	23.755304
357.400000	14.709465	23.827939
357.500000	14.667170	23.823697
357.600000	14.869987	23.751050
357.700000	14.883709	23.922550
357.800000	14.852823	24.038865
357.900000	14.933672	23.979162
358.000000	14.956806	24.010833
358.100000	14.991190	23.958663
358.200000	15.093888	24.014740
358.300000	14.928551	23.946915
358.400000	14.937860	23.919881
358.500000	14.781984	24.014241
358.600000	14.845731	23.854142
358.700000	14.843753	23.732050
358.800000	14.773690	23.711084
358.900000	14.653578	23.670920
359.000000	14.792005	23.708657
359.100000	15.015831	23.773989
359.200000	15.146353	23.743093
359.300000	15.263173	23.671845
359.400000	15.401253	23.681142
359.500000	15.608002	23.750898
359.600000	15.714644	23.830018
359.700000	15.510031	23.887171
359.800000	15.240197	23.739626
359.900000	15.398951	23.770297
360.000000	15.437959	23.716687
360.100000	15.574555	23.792220
360.200000	15.785585	24.003650
360.300000	15.814658	23.966915
360.400000	15.949013	23.958347
360.500000	15.901205	23.839359
360.600000	15.960544	23.803169
360.700000	15.914817	23.788617
360.800000	15.988484	23.888363
360.900000	15.924993	23.824905
361.000000	15.998718	23.898781
361.100000	15.938254	23.930112
361.200000	16.082933	24.070578
361.300000	16.192048	24.073077
361.400000	16.179368	24.129698
361.500000	16.151194	24.004428
361.600000	16.149796	23.982334
361.700000	16.146588	23.790716
361.800000	16.084408	23.841975
361.900000	15.950008	23.960298
362.000000	15.941650	23.890968
362.100000	15.961578	23.753513
362.200000	16.110603	23.620162
362.300000	16.160605	23.599399
362.400000	16.186793	23.701610
362.500000	16.186104	23.752809
362.600000	16.247807	23.717816
362.700000	16.370170	23.575257
362.800000	16.349085	23.547183
362.900000	16.584794	23.544462
363.000000	16.633017	23.601596
363.100000	16.719067	23.744843
363.200000	16.752153	23.672141
363.300000	16.689006	23.727885
363.400000	16.662437	23.830810
363.500000	16.841348	23.715028
363.600000	16.652064	23.703509
363.700000	16.438028	23.699253
363.800000	16.467246	23.636781
363.900000	16.404328	23.571868
364.000000	16.305082	23.608340
364.100000	16.217130	23.578566
364.200000	16.205918	23.518443
364.300000	16.048970	23.570032
364.400000	16.025561	23.581137
364.500000	16.043897	23.695211
364.600000	16.113845	23.736544
364.700000	16.078325	23.914972
364.800000	16.249636	23.935466
364.900000	16.456300	24.169214
365.000000	16.551421	24.155059
365.100000	16.540234	24.060426
365.200000	16.709078	24.073048
365.300000	16.548676	24.194751
365.400000	16.638340	24.188044
365.500000	16.790165	24.271818
365.600000	16.710127	24.255025
365.700000	16.730526	24.290503
365.800000	16.697996	24.478792
365.900000	16.720755	24.821416
366.000000	16.640398	24.851729
366.100000	16.818920	24.918092
366.200000	16.959909	24.937826
366.300000	16.925836	24.833961
366.400000	16.936999	24.984705
366.500000	16.913450	24.913974
366.600000	17.220519	25.092832
366.700000	17.291943	25.142623
366.800000	17.140506	25.084987
366.900000	17.047702	25.151575
367.000000	16.943916	25.446135
367.100000	16.939721	25.366380
367.200000	16.876341	25.584959
367.300000	16.805359	25.864094
367.400000	16.938913	25.911426
367.500000	16.874125	25.840136
367.600000	16.717562	25.816041
367.700000	16.613124	25.802609
367.800000	16.687470	25.789841
367.900000	16.538031	25.853060
368.000000	16.410247	25.940034
368.100000	16.417646	25.874650
368.200000	16.515317	25.923048
368.300000	16.593526	25.879587
368.400000	16.774319	26.053336
368.500000	16.929747	25.968788
368.600000	16.934034	26.028182
368.700000	16.894301	26.060899
368.800000	16.793575	26.015289
368.900000	16.639422	25.925507
369.000000	16.667045	25.963096
369.100000	16.716275	25.840809
369.200000	16.884697	25.746563
369.300000	16.994263	25.509771
369.400000	17.122703	25.649993
369.500000	17.122027	25.741689
369.600000	17.238606	25.821685
369.700000	17.068026	25.980830
369.800000	17.070452	26.016545
369.900000	17.127444	25.996652
370.000000	17.214109	25.979063
370.100000	17.340518	26.120935
370.200000	17.320279	26.041868
370.300000	17.273354	26.056709
370.400000	17.187358	26.038354
370.500000	17.189069	26.068392
370.600000	16.999463	25.942426
370.700000	16.909847	25.823177
370.800000	16.937979	26.017565
370.900000	16.814811	26.046387
371.000000	16.975988	26.212418
371.100000	17.081807	26.406906
371.200000	17.244657	26.464555
371.300000	17.242753	26.496843
371.400000	17.279058	26.508190
371.500000	17.263173	26.620525
371.600000	17.289889	26.598515
371.700000	17.299152	26.692792
371.800000	17.218307	26.778565
371.900000	17.015265	26.731829
372.000000	17.037684	26.775932
372.100000	17.161427	26.859183
372.200000	17.322681	26.884695
372.300000	17.364476	27.051767
372.400000	17.329057	27.089749
372.500000	17.517546	27.094503
372.600000	17.509397	27.109358
372.700000	17.626474	27.008129
372.800000	17.607865	26.939667
372.900000	17.707915	26.923988
373.000000	17.758653	27.004929
373.100000	17.668196	27.189438
373.200000	17.716104	27.139691
373.300000	17.782009	27.088706
373.400000	17.673215	27.097775
373.500000	17.696509	27.246622
373.600000	17.810733	27.191050
373.700000	17.892928	27.270107
373.800000	17.831032	27.254835
373.900000	17.814069	27.304776
374.000000	17.754539	27.463145
374.100000	17.816517	27.396714
374.200000	17.788209	27.335620
374.300000	17.938204	27.346893
374.400000	18.002296	27.299218
374.500000	17.877885	27.278871
374.600000	17.528838	27.385844
374.700000	17.419559	27.495500
374.800000	17.454182	27.715937
374.900000	17.466224	27.686137
375.000000	17.492825	27.602571
375.100000	17.585443	27.562905
375.200000	17.599300	27.589057
375.300000	17.711798	27.486318
375.400000	17.792433	27.446347
375.500000	17.884143	27.303589
375.600000	17.814744	27.449769
375.700000	17.878437	27.543265
375.800000	17.952499	27.561699
375.900000	17.969572	27.494125
376.000000	17.885569	27.653004
376.100000	17.896718	27.846888
376.200000	17.943697	27.955085
376.300000	17.959186	27.897706
376.400000	18.083438	27.930415
376.500000	17.923424	27.931869
376.600000	17.976501	28.096953
376.700000	17.797265	28.043785
376.800000	17.955338	28.023314
376.900000	17.899561	28.034931
377.000000	17.778554	27.996534
377.100000	17.619419	28.081411
377.200000	17.631451	28.095671
377.300000	17.708709	28.086949
377.400000	17.768627	27.995137
377.500000	17.859198	27.976448
377.600000	18.051325	28.148014
377.700000	18.163981	28.241189
377.800000	18.241756	28.290062
377.900000	18.152078	28.309591
378.000000	18.239295	28.376641
378.100000	18.274974	28.415557
378.200000	18.335412	28.492680
378.300000	18.352412	28.460593
378.400000	18.326677	28.517823
378.500000	18.213232	28.518105
378.600000	18.119846	28.518798
378.700000	17.910588	28.438450
378.800000	17.801476	28.402068
378.900000	17.941483	28.353634
379.000000	17.896217	28.403446
379.100000	17.867438	28.417738
379.200000	17.887625	28.380264
379.300000	17.935599	28.572056
379.400000	18.070598	28.501223
379.500000	18.043251	28.468216
379.600000	18.147600	28.452406
379.700000	18.072371	28.491862
379.800000	18.125643	28.476359
379.900000	18.132251	28.595474
380.000000	18.248605	28.737791
380.100000	18.326889	28.829029
380.200000	18.475040	28.794164
380.300000	18.496445	28.621745
380.400000	18.384673	28.750326
380.500000	18.427129	28.665987
380.600000	18.494436	28.573878
380.700000	18.558329	28.516789
380.800000	18.459145	28.446917
380.900000	18.531308	28.632423
381.000000	18.556685	28.563777
381.100000	18.488046	28.455100
381.200000	18.541082	28.690314
381.300000	18.657738	28.575277
381.400000	18.655375	28.647304
381.500000	18.744004	28.676046
381.600000	18.844862	28.778132
381.700000	19.210519	28.796303
381.800000	19.274900	28.784897
381.900000	19.328693	28.812248
382.000000	19.440180	28.693367
382.100000	19.460334	28.658958
382.200000	19.506475	28.565153
382.300000	19.673763	28.533472
382.400000	19.672298	28.660154
382.500000	19.653647	28.656001
