Time	AutoCorrelation
44.300000	0.000174
44.400000	0.000205
44.500000	0.000426
44.600000	0.000442
44.700000	0.001146
44.800000	0.001758
44.900000	0.002433
45.000000	0.003065
45.100000	0.003587
45.200000	0.004030
45.300000	0.004227
45.400000	0.004749
45.500000	0.004832
45.600000	0.004963
45.700000	0.004909
45.800000	0.004225
45.900000	0.003860
46.000000	0.003210
46.100000	0.002624
46.200000	0.002412
46.300000	0.001871
46.400000	0.001186
46.500000	0.000447
46.600000	-0.000163
46.700000	-0.000295
46.800000	-0.000358
46.900000	-0.000359
47.000000	-0.000314
47.100000	-0.000104
47.200000	0.000495
47.300000	0.000687
47.400000	0.000889
47.500000	0.001396
47.600000	0.001537
47.700000	0.001436
47.800000	0.001586
47.900000	0.001719
48.000000	0.002010
48.100000	0.002277
48.200000	0.003063
48.300000	0.003718
48.400000	0.004401
48.500000	0.004650
48.600000	0.004362
48.700000	0.004043
48.800000	0.003949
48.900000	0.004090
49.000000	0.003903
49.100000	0.003880
49.200000	0.003954
49.300000	0.003810
49.400000	0.003719
49.500000	0.003595
49.600000	0.003757
49.700000	0.003627
49.800000	0.003562
49.900000	0.003621
