Lag Time	AutoCorrelation
41.600000	-0.000395
41.700000	-0.000412
41.800000	-0.000426
41.900000	-0.000392
42.000000	-0.000311
42.100000	-0.000233
42.200000	-0.000148
42.300000	-0.000087
42.400000	-0.000027
42.500000	0.000072
42.600000	0.000198
42.700000	0.000276
42.800000	0.000245
42.900000	0.000104
43.000000	-0.000075
43.100000	-0.000234
43.200000	-0.000348
43.300000	-0.000478
43.400000	-0.000548
43.500000	-0.000586
43.600000	-0.000671
43.700000	-0.000754
43.800000	-0.000761
43.900000	-0.000734
44.000000	-0.000657
44.100000	-0.000583
44.200000	-0.000523
44.300000	-0.000516
44.400000	-0.000527
44.500000	-0.000555
44.600000	-0.000589
44.700000	-0.000589
44.800000	-0.000539
44.900000	-0.000462
45.000000	-0.000391
45.100000	-0.000344
45.200000	-0.000351
45.300000	-0.000355
45.400000	-0.000361
45.500000	-0.000342
45.600000	-0.000307
45.700000	-0.000322
45.800000	-0.000326
45.900000	-0.000281
46.000000	-0.000196
46.100000	-0.000117
46.200000	-0.000011
46.300000	0.000082
46.400000	0.000145
46.500000	0.000215
46.600000	0.000256
46.700000	0.000307
46.800000	0.000355
46.900000	0.000380
47.000000	0.000343
47.100000	0.000296
47.200000	0.000275
47.300000	0.000247
47.400000	0.000201
47.500000	0.000120
47.600000	-0.000007
47.700000	-0.000087
47.800000	-0.000146
47.900000	-0.000188
48.000000	-0.000199
48.100000	-0.000233
48.200000	-0.000288
48.300000	-0.000382
48.400000	-0.000461
48.500000	-0.000558
48.600000	-0.000651
48.700000	-0.000681
48.800000	-0.000693
48.900000	-0.000744
49.000000	-0.000881
49.100000	-0.001049
49.200000	-0.001136
49.300000	-0.001158
49.400000	-0.001132
49.500000	-0.001100
49.600000	-0.001046
49.700000	-0.001006
49.800000	-0.000960
49.900000	-0.000869
50.000000	-0.000760
50.100000	-0.000639
50.200000	-0.000511
50.300000	-0.000360
50.400000	-0.000166
50.500000	0.000007
50.600000	0.000168
50.700000	0.000341
50.800000	0.000498
50.900000	0.000610
51.000000	0.000637
51.100000	0.000566
51.200000	0.000427
51.300000	0.000323
51.400000	0.000258
51.500000	0.000176
51.600000	0.000111
51.700000	0.000060
51.800000	0.000040
51.900000	0.000050
52.000000	0.000052
52.100000	0.000052
52.200000	0.000075
52.300000	0.000126
52.400000	0.000183
52.500000	0.000204
52.600000	0.000237
52.700000	0.000322
52.800000	0.000400
52.900000	0.000428
53.000000	0.000424
53.100000	0.000408
53.200000	0.000374
53.300000	0.000319
53.400000	0.000246
53.500000	0.000219
53.600000	0.000253
53.700000	0.000283
53.800000	0.000299
53.900000	0.000294
54.000000	0.000257
54.100000	0.000205
54.200000	0.000198
54.300000	0.000274
54.400000	0.000350
54.500000	0.000372
54.600000	0.000370
54.700000	0.000333
54.800000	0.000324
54.900000	0.000317
55.000000	0.000327
55.100000	0.000292
55.200000	0.000196
55.300000	0.000063
55.400000	-0.000069
55.500000	-0.000182
55.600000	-0.000291
55.700000	-0.000386
55.800000	-0.000446
55.900000	-0.000442
56.000000	-0.000432
56.100000	-0.000459
56.200000	-0.000527
56.300000	-0.000614
56.400000	-0.000699
56.500000	-0.000817
56.600000	-0.000929
56.700000	-0.001014
56.800000	-0.001088
56.900000	-0.001140
57.000000	-0.001093
57.100000	-0.001014
57.200000	-0.000885
57.300000	-0.000722
57.400000	-0.000520
57.500000	-0.000332
57.600000	-0.000177
57.700000	-0.000082
57.800000	-0.000027
57.900000	-0.000027
58.000000	-0.000021
58.100000	0.000051
58.200000	0.000125
58.300000	0.000197
58.400000	0.000260
58.500000	0.000312
58.600000	0.000378
58.700000	0.000409
58.800000	0.000449
58.900000	0.000516
59.000000	0.000552
59.100000	0.000592
59.200000	0.000635
59.300000	0.000676
59.400000	0.000687
59.500000	0.000713
59.600000	0.000745
59.700000	0.000808
59.800000	0.000882
59.900000	0.000900
60.000000	0.000884
60.100000	0.000886
60.200000	0.000887
60.300000	0.000902
60.400000	0.000904
60.500000	0.000867
60.600000	0.000819
60.700000	0.000754
60.800000	0.000716
60.900000	0.000715
61.000000	0.000707
61.100000	0.000684
61.200000	0.000661
61.300000	0.000631
61.400000	0.000592
61.500000	0.000509
61.600000	0.000436
61.700000	0.000415
61.800000	0.000398
61.900000	0.000388
62.000000	0.000389
62.100000	0.000359
62.200000	0.000305
62.300000	0.000173
62.400000	0.000082
62.500000	0.000016
62.600000	-0.000017
62.700000	-0.000023
62.800000	-0.000008
62.900000	0.000040
63.000000	0.000065
63.100000	0.000013
63.200000	-0.000065
63.300000	-0.000147
63.400000	-0.000233
63.500000	-0.000330
63.600000	-0.000396
63.700000	-0.000462
63.800000	-0.000507
63.900000	-0.000556
64.000000	-0.000642
64.100000	-0.000739
64.200000	-0.000801
64.300000	-0.000864
64.400000	-0.000894
64.500000	-0.000875
64.600000	-0.000812
64.700000	-0.000712
64.800000	-0.000590
64.900000	-0.000450
65.000000	-0.000295
65.100000	-0.000160
65.200000	-0.000017
65.300000	0.000105
65.400000	0.000223
65.500000	0.000356
65.600000	0.000457
65.700000	0.000522
65.800000	0.000605
65.900000	0.000683
66.000000	0.000685
66.100000	0.000596
66.200000	0.000476
66.300000	0.000426
66.400000	0.000392
66.500000	0.000368
66.600000	0.000357
66.700000	0.000374
66.800000	0.000412
66.900000	0.000470
67.000000	0.000533
67.100000	0.000618
67.200000	0.000671
67.300000	0.000642
67.400000	0.000571
67.500000	0.000436
67.600000	0.000265
67.700000	0.000108
67.800000	-0.000031
67.900000	-0.000109
68.000000	-0.000174
68.100000	-0.000247
68.200000	-0.000344
68.300000	-0.000446
68.400000	-0.000527
68.500000	-0.000551
68.600000	-0.000573
68.700000	-0.000614
68.800000	-0.000691
68.900000	-0.000723
69.000000	-0.000739
69.100000	-0.000769
69.200000	-0.000835
69.300000	-0.000908
69.400000	-0.000952
69.500000	-0.001005
69.600000	-0.001057
69.700000	-0.001069
69.800000	-0.001060
69.900000	-0.001027
70.000000	-0.000989
70.100000	-0.000913
70.200000	-0.000803
70.300000	-0.000658
70.400000	-0.000462
70.500000	-0.000247
70.600000	-0.000008
70.700000	0.000178
70.800000	0.000316
70.900000	0.000418
71.000000	0.000521
71.100000	0.000623
71.200000	0.000696
71.300000	0.000774
71.400000	0.000815
71.500000	0.000793
71.600000	0.000720
71.700000	0.000613
71.800000	0.000481
71.900000	0.000393
72.000000	0.000307
72.100000	0.000246
72.200000	0.000187
72.300000	0.000099
72.400000	0.000026
72.500000	-0.000034
72.600000	-0.000113
72.700000	-0.000164
72.800000	-0.000208
72.900000	-0.000253
73.000000	-0.000276
73.100000	-0.000302
73.200000	-0.000365
73.300000	-0.000462
73.400000	-0.000559
73.500000	-0.000615
73.600000	-0.000628
73.700000	-0.000584
73.800000	-0.000511
73.900000	-0.000480
74.000000	-0.000452
74.100000	-0.000450
74.200000	-0.000440
74.300000	-0.000434
74.400000	-0.000455
74.500000	-0.000461
74.600000	-0.000447
74.700000	-0.000403
74.800000	-0.000352
74.900000	-0.000359
